clientID,address,mobile,deliveryCount,produce,meat,dairy
A652,"889 Hespeler Rd., Cambridge, ON G7T1E0",6475555266,0,0,0,0
K359,"574 Westmount Rd., Cambridge, ON L8V6S3",5195553341,0,0,0,0
L935,"417 Dundas St., Cambridge, ON G8C6A8",5195551082,0,0,0,0
Z509,"630 King St., Cambridge, ON H4L5X7",6475558357,0,0,0,0
R009,"38 Victoria St., Cambridge, ON N7X8P2",5195555845,0,0,0,0
L092,"614 Victoria St., Cambridge, ON H1Y2Y0",6475553233,0,0,0,0
Y970,"895 Victoria St., Cambridge, ON V9J1C5",6475554369,0,0,0,0
H833,"179 King St., Cambridge, ON L4V1J3",5195557164,0,0,0,0
N643,"336 Weber St., Cambridge, ON K0C5N2",6475552563,0,0,0,0
S653,"710 Fischer-Hallman Rd., Cambridge, ON K9C8B0",5195551006,0,0,0,0
V017,"162 University Ave., Cambridge, ON B2C1V1",5195558223,0,0,0,0
H840,"563 Weber St., Cambridge, ON K5T5L8",6475556687,0,0,0,0
Q387,"333 Fischer-Hallman Rd., Cambridge, ON A4J9G1",5195555626,0,0,0,0
G128,"913 Weber St., Cambridge, ON C9C2E1",5195552357,0,0,0,0
M782,"689 King St., Cambridge, ON L3B9X6",6475558355,0,0,0,0
D336,"356 Westmount Rd., Cambridge, ON G7G0E9",5195552370,0,0,0,0
F453,"101 Victoria St., Cambridge, ON K1E1S0",6475558259,0,0,0,0
F975,"733 King St., Cambridge, ON M2S1H9",6475551644,0,0,0,0
O619,"87 Dundas St., Cambridge, ON H5A3A3",6475558830,0,0,0,0
Z077,"68 Westmount Rd., Cambridge, ON P3A6Y6",6475552438,0,0,0,0
